ICD-10 (1-3-digit codes) main diagnosis,Diagnosis of hospital in-patients (main diagnosis),Year,Patient's place of residence,Gender,under 1 year,1 to under 5 years,5 to under 10 years,10 to under 15 years,15 to under 18 years,18 to under 20 years,20 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years, 40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 to under 90 years
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Bremen,Male,2,6.8,3.8,2.8,3.8,3.8,4.5,4,5.5,7,6,5,5.3,6.8,6.5,6.9,8.4,8.2,9.6,10.3
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Bremen,Female,3.3,3.1,2.7,3.7,2.7,6.1,4,4.1,7.2,5.1,10.3,8.1,8.8,9.4,8.1,8.5,8.4,10.1,10.2,10.4
ICD10-C00-C97,Malignant neoplasms,2021,Bremen,Female,25.8,8.1,26.8,7.8,11.7,17.3,5.1,5.9,7.7,5.7,6,5.6,7.8,7.6,8,9.1,8.5,9,10.1,9.5
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Bremen,Female,2,2.3,14.8,5.3,3,5,8.5,10.6,4.1,2.4,3.6,6.2,4.1,5.5,7,5.3,5.9,5.5,6.2,6.9
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Bremen,Female,9.3,9.2,5.6,4.6,4.1,4.9,3.7,3.3,4.2,4.1,3.7,5.4,7.1,4.8,7.6,8,9.5,8.3,8.2,8.4
ICD10-G00-G99,Diseases of the nervous system,2021,Bremen,Female,15.6,5.6,3.6,2.9,3,4.1,4.3,5.2,6.2,5.2,4.7,7.3,8.3,8.8,9.4,8.6,8.1,7,8.5,7.6
ICD10-I00-I99,Diseases of the circulatory system,2021,Bremen,Female,-,4.3,2,5.3,10.3,3.1,3.5,3.1,6.6,6.4,6.5,7.7,7.5,6.7,7.4,7.3,8,8.7,9.6,9.3
ICD10-J00-J99,Diseases of the respiratory system,2021,Bremen,Female,4,3,2.6,6,3.4,4,4,4.7,4.9,6.5,5.3,7.7,7.4,8.1,8.2,10,9.1,11.5,10.2,10.2
ICD10-K00-K93,Diseases of the digestive system,2021,Bremen,Female,3.6,1.8,4.7,3.8,5,4.6,3.2,3.7,4.2,3.9,5.3,5.3,5.5,5.9,6.2,6.1,7.5,6.9,8.1,7.2
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Bremen,Female,-,4.4,3,3.3,3.8,3.6,4.6,3.9,4.3,4.7,4.5,5.6,5.6,6.7,6.8,7.1,8.3,8.3,9.7,10.8
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Bremen,Both,3.5,3.3,2.7,3.3,4,5,8.1,5.2,6.3,5.5,8.2,8.7,9,8.8,9.1,10,8.8,10,10.1,10.6
ICD10-C00-C97,Malignant neoplasms,2021,Bremen,Both,23.8,6.9,15.9,6.8,10.4,4.9,6.4,7.8,5.9,8.4,6.6,6.4,7.9,7.6,7.6,8.5,8,8.5,8.6,8.4
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Bremen,Both,5,9.1,11.5,10.2,8,5,6.1,8.9,3.7,6.4,3.3,6.7,4.6,5.8,6,5,6,6.5,6.9,7.4
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Bremen,Both,13.6,7.9,5.7,4.5,4.2,4.6,4.4,3.7,4.6,5.7,4.3,7.8,7.9,6.4,7.6,9.5,9.7,8.8,9.6,8.7
ICD10-G00-G99,Diseases of the nervous system,2021,Bremen,Both,10.5,5.9,3.5,3.5,3.3,4.1,4,4.7,5.6,5.1,5.7,7.5,7.6,8.5,9.6,9.5,8.2,8.1,8.7,7
ICD10-I00-I99,Diseases of the circulatory system,2021,Bremen,Both,13.4,22.6,2.7,4.1,7.2,2.8,6,4.8,5.8,6.3,7.5,7.7,7.1,6.8,7.7,7.8,8.2,8.7,9.3,9.3
ICD10-J00-J99,Diseases of the respiratory system,2021,Bremen,Both,3.6,3,2.6,4.7,3.5,4,4.5,4.4,5,6.4,6.2,8.4,8.8,8.4,8.9,9.5,10,10.8,10.6,10.3
ICD10-K00-K93,Diseases of the digestive system,2021,Bremen,Both,4,2.9,4.3,3.3,4.7,4.2,3.2,3.9,4.1,4.2,5.5,5.1,5.7,5.7,6.1,6.1,6.5,6.5,7.8,7.1
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Bremen,Both,2,5.1,3.4,3.1,3.8,3.7,4.6,3.9,5.1,5.8,5.3,5.3,5.5,6.8,6.7,7,8.3,8.2,9.7,10.7
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Hamburg,Male,3.7,2.6,3.9,4.9,4.5,7.1,7.7,8.9,13.2,10.8,8.5,7.9,8.3,9,9.6,8.9,9.7,9.4,10.9,9.3
ICD10-C00-C97,Malignant neoplasms,2021,Hamburg,Male,11.2,6,6,5,7.2,6.1,8,6.6,7.2,7.7,9.1,7.4,8.2,7.7,8.7,8.4,8.5,8.5,8.2,8.5
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Hamburg,Male,13.4,3.6,6.6,10.1,7.9,11.3,5.6,8.9,4.7,8.4,4.6,5.9,4.8,6.1,7.4,6.3,5.8,6.6,6.1,5.9
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Hamburg,Male,12.9,5.3,3.2,6.3,4.4,3.7,4.6,3.8,5.2,5.3,6.2,6.3,7.3,9.4,9.8,9.9,9.3,9.6,10.4,9.6
ICD10-G00-G99,Diseases of the nervous system,2021,Hamburg,Male,10.3,4.3,3.1,3.9,4.9,5.4,6.6,6.4,5.4,7,5.8,7.4,6.6,7.9,7.9,11.4,10.1,9.6,9.6,9.7
ICD10-I00-I99,Diseases of the circulatory system,2021,Hamburg,Male,5.8,5,5.6,5.1,4.7,4,3.6,4.7,5.3,6.9,5.3,6.9,6.2,5.8,7.2,8.4,8.3,8.8,9.1,9.6
ICD10-J00-J99,Diseases of the respiratory system,2021,Hamburg,Male,3.6,2.8,2.8,5.2,3.8,4.1,4.2,3.9,4.4,6.3,6.5,6.8,8.1,9,9.9,10,9.9,10.1,10.6,10.2
ICD10-K00-K93,Diseases of the digestive system,2021,Hamburg,Male,2.6,3.9,4,4.4,5.3,3.9,3.6,3.3,3.2,3.9,3.7,4.4,4.4,4.7,5.2,5.7,5.7,6.2,6.4,7.3
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Hamburg,Male,10,4.4,4.3,3.5,3.4,5.2,4.6,4.6,4.3,4.2,4.1,4.6,5.2,5.3,6.4,6.8,7.8,8.6,11,11.8
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Hamburg,Female,3,2.4,2.7,3.4,3.2,3,5.7,7.1,4.7,6.3,6.9,8.3,7,9.9,7.5,9.3,9.4,10.1,10.5,9.6
ICD10-C00-C97,Malignant neoplasms,2021,Hamburg,Female,32.6,7.3,3.7,5.3,4.7,10.2,5.3,7.9,6.5,5.8,5.9,6.9,6.7,8,8.2,8.1,8.7,8.9,9,8.5
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Hamburg,Female,9.3,6.2,6.1,4.2,3,4.3,5.6,7.2,3.8,5,4.5,4.2,4.2,5.4,6.4,5.7,6.3,6.2,6.6,5.8
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Hamburg,Female,10.2,6.7,3.9,3,3.7,3.9,4.3,2.4,2.8,3.2,3.4,3.1,3.7,5.4,6,6.5,7.9,8.4,8.9,9.6
ICD10-G00-G99,Diseases of the nervous system,2021,Hamburg,Female,8.2,4,4.1,2.9,3.5,6.6,5.5,4.8,4.5,5.3,6.2,6.6,7.4,8.5,7.9,9,11,8.9,8.5,7.9
ICD10-I00-I99,Diseases of the circulatory system,2021,Hamburg,Female,5.9,4.4,3.2,2.6,5.9,8,4.5,4.3,3.7,4.7,4.3,6.3,6.1,6.3,6.8,7.1,7.9,8.3,8.6,9.7
ICD10-J00-J99,Diseases of the respiratory system,2021,Hamburg,Female,3.9,3.1,2.6,3.5,3.4,3.6,3.3,3.7,4.3,4.5,6.3,5.9,6,7.3,8.1,9.4,9.9,9.5,10.4,10.6
ICD10-K00-K93,Diseases of the digestive system,2021,Hamburg,Female,3.1,4.4,3.6,3.7,3,3.2,3.5,3.9,3.5,3.6,4,4.6,4.7,5.1,5.8,6.4,6.8,7.1,7.5,7.2
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Hamburg,Female,2.5,5.5,4.1,3.3,3.4,3.3,3.5,4,3.7,4,3.8,3.9,4.6,4.7,5.3,6.7,7.6,8.8,10.8,12.4
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Hamburg,Both,3.4,2.5,3.3,4.1,3.8,4.8,6.7,8.2,9.8,8.7,7.9,8.1,7.7,9.4,8.7,9.1,9.6,9.8,10.7,9.5
ICD10-C00-C97,Malignant neoplasms,2021,Hamburg,Both,18.9,6.4,5.4,5.2,6.4,8.3,6.8,7.2,6.8,6.6,7.2,7.1,7.4,7.9,8.4,8.3,8.6,8.7,8.5,8.5
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Hamburg,Both,12.3,4.4,6.4,7,4.3,7.1,5.6,7.9,4.3,6.7,4.5,4.8,4.5,5.7,6.9,6,6.1,6.4,6.4,5.9
